                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.50015,                0.32705,                0.91424,                0.95587,                0.95691,                0.97262,                0.78617,                0.76945,                0.40065,                 1.1304,             0.00019803,             0.00019803,             0.00019803
                     87,                0.49129,                 0.3204,                0.90898,                0.95809,                0.95583,                0.97777,                0.78857,                0.77162,                0.38719,                 1.1382,             0.00019741,             0.00019741,             0.00019741
                     88,                 0.4789,                 0.3128,                 0.8994,                 0.9507,                0.96715,                0.97606,                0.79237,                0.77139,                0.37817,                 1.1257,             0.00019679,             0.00019679,             0.00019679
                     89,                0.47818,                 0.3076,                0.89937,                0.94156,                0.96456,                0.97674,                0.79532,                0.78484,                0.39675,                 1.1415,             0.00019617,             0.00019617,             0.00019617
                     90,                0.48343,                0.31564,                0.90486,                0.95358,                0.96198,                0.97635,                0.78786,                0.78474,                0.38929,                 1.1434,             0.00019555,             0.00019555,             0.00019555
                     91,                0.49003,                 0.3306,                0.91312,                 0.9456,                 0.9658,                  0.977,                0.78976,                0.76954,                0.39609,                 1.1523,             0.00019493,             0.00019493,             0.00019493
                     92,                0.49231,                0.32332,                0.91004,                 0.9542,                0.95947,                0.97419,                0.78345,                    0.8,                0.38925,                 1.1514,             0.00019431,             0.00019431,             0.00019431
                     93,                0.47197,                0.31434,                0.91205,                  0.946,                0.95742,                0.97163,                0.77602,                0.81511,                0.42169,                 1.1576,             0.00019369,             0.00019369,             0.00019369
                     94,                0.48731,                0.31514,                0.90968,                0.94541,                0.96322,                0.97713,                0.79002,                0.79271,                0.38915,                 1.1272,             0.00019307,             0.00019307,             0.00019307
                     95,                0.47498,                  0.326,                0.90667,                0.93678,                0.95909,                0.97094,                 0.7833,                0.77366,                0.41675,                 1.1362,             0.00019246,             0.00019246,             0.00019246
                     96,                0.46657,                0.29665,                  0.895,                0.94911,                0.95114,                0.97106,                0.78538,                0.77812,                0.42184,                   1.14,             0.00019184,             0.00019184,             0.00019184
                     97,                0.47439,                0.31816,                0.90193,                0.95095,                0.95196,                0.97319,                0.78033,                 0.7852,                0.42392,                 1.1377,             0.00019122,             0.00019122,             0.00019122
                     98,                 0.4701,                0.31015,                0.90278,                0.96111,                0.95792,                0.97902,                0.79155,                0.78297,                0.38832,                 1.1315,              0.0001906,              0.0001906,              0.0001906
                     99,                0.46055,                0.30139,                0.89848,                0.95301,                0.94492,                0.97468,                0.78375,                0.77757,                0.42943,                 1.1378,             0.00018998,             0.00018998,             0.00018998
                    100,                0.46264,                0.30822,                0.89562,                0.95637,                0.94925,                0.97573,                0.78481,                 0.7893,                0.41388,                 1.1379,             0.00018936,             0.00018936,             0.00018936
                    101,                0.45691,                0.29842,                0.89839,                0.95558,                0.95424,                0.97189,                 0.7909,                0.75893,                0.39575,                 1.1317,             0.00018874,             0.00018874,             0.00018874
                    102,                0.45928,                0.30912,                0.90101,                0.94824,                0.95714,                0.97157,                0.79216,                0.76009,                0.40807,                  1.129,             0.00018812,             0.00018812,             0.00018812
                    103,                0.45331,                0.28862,                0.89562,                0.93594,                0.96225,                0.97231,                0.79664,                0.76731,                0.41919,                 1.1384,             0.00018751,             0.00018751,             0.00018751
                    104,                0.45461,                0.29821,                0.89688,                 0.9405,                0.94576,                0.97134,                0.79591,                0.77183,                0.44295,                 1.1462,             0.00018689,             0.00018689,             0.00018689
                    105,                0.46247,                0.30477,                0.89932,                 0.9484,                0.96356,                0.97322,                0.79177,                0.76817,                0.39251,                 1.1388,             0.00018627,             0.00018627,             0.00018627
                    106,                0.44601,                0.29121,                0.89392,                0.95342,                0.95147,                0.97621,                0.78947,                0.77666,                 0.3988,                  1.149,             0.00018565,             0.00018565,             0.00018565
                    107,                0.45365,                0.29692,                0.89506,                0.95398,                0.96194,                 0.9701,                0.78423,                0.77478,                0.41033,                 1.1389,             0.00018503,             0.00018503,             0.00018503
                    108,                0.44273,                0.30047,                0.89947,                0.94459,                0.95884,                0.96861,                0.78558,                0.77884,                0.41662,                 1.1402,             0.00018441,             0.00018441,             0.00018441
                    109,                0.44526,                0.28984,                0.89384,                0.94268,                0.96171,                 0.9738,                0.79462,                0.75216,                0.39022,                 1.1325,             0.00018379,             0.00018379,             0.00018379
                    110,                0.44735,                0.29676,                0.89383,                0.94279,                0.96108,                0.97557,                0.79754,                0.75928,                0.40304,                 1.1289,             0.00018318,             0.00018318,             0.00018318
                    111,                0.44301,                0.29807,                 0.8908,                0.93411,                0.96155,                0.97497,                0.79185,                 0.7697,                0.40191,                 1.1404,             0.00018256,             0.00018256,             0.00018256
