                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0382,                0.57866,                0.94764,                      1,                0.99119,                  0.995,                0.72986,                 1.0682,                0.58082,                0.84317,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.0377,                0.57791,                0.92414,                0.87302,                0.98413,                 0.9775,                0.65298,                 1.2234,                0.60179,                0.85463,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.0395,                0.57234,                0.91179,                0.98669,                0.85714,                0.96389,                0.69332,                 1.0447,                0.63312,                0.84329,               0.001505,               0.001505,               0.001505
                     78,                 1.0228,                0.56478,                0.90609,                0.98794,                0.85714,                0.94409,                0.59061,                  1.155,                0.68621,                0.84564,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.0204,                0.56183,                 0.9303,                0.98995,                0.85714,                 0.9775,                0.63656,                 1.2041,                0.64486,                0.83739,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.0577,                0.58389,                0.93601,                      1,                0.99941,                  0.995,                 0.7755,                 1.0148,                0.55944,                0.83104,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.0004,                0.54412,                0.92077,                 0.9996,                      1,                  0.995,                0.78126,                 0.9267,                0.51245,                0.83231,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0235,                0.55486,                0.92201,                0.98573,                0.85714,                 0.9775,                0.69652,                 1.1243,                0.55866,                0.83251,               0.001472,               0.001472,               0.001472
                     83,                0.99911,                 0.5369,                0.90135,                      1,                0.98432,                  0.995,                0.71588,                 1.0483,                0.62112,                0.84135,              0.0014654,              0.0014654,              0.0014654
                     84,                  0.998,                0.54319,                0.90471,                0.98964,                0.85714,                 0.9775,                 0.7186,                 1.0992,                0.62653,                0.84622,              0.0014588,              0.0014588,              0.0014588
                     85,                 0.9731,                0.54421,                0.91155,                0.85566,                      1,                 0.9775,                0.76518,                 1.0576,                0.54291,                0.84247,              0.0014522,              0.0014522,              0.0014522
                     86,                0.97777,                0.53174,                0.90418,                      1,                0.99947,                  0.995,                0.72377,                  1.043,                0.56631,                0.83445,              0.0014456,              0.0014456,              0.0014456
                     87,                0.99546,                 0.5091,                0.91301,                      1,                0.99434,                  0.995,                 0.7373,                 1.1498,                 0.6409,                0.83554,               0.001439,               0.001439,               0.001439
                     88,                0.98995,                0.54093,                0.93008,                      1,                0.99778,                  0.995,                0.72479,                 1.1585,                0.58419,                0.83984,              0.0014324,              0.0014324,              0.0014324
                     89,                0.97959,                0.51992,                0.90903,                      1,                0.99301,                  0.995,                0.80477,                0.87589,                0.55019,                0.82672,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.0173,                0.54435,                0.93019,                      1,                0.99109,                  0.995,                0.74005,                0.98466,                0.55894,                0.83546,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.0139,                0.54137,                0.88875,                0.99675,                      1,                  0.995,                0.76088,                0.96687,                0.56368,                0.83177,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.0424,                0.55796,                0.89209,                      1,                 0.9894,                  0.995,                0.61481,                 1.3984,                0.71671,                0.84673,               0.001406,               0.001406,               0.001406
                     93,                 1.0003,                0.55335,                0.92603,                0.86479,                      1,                 0.9775,                0.67222,                 1.1565,                0.59422,                0.85171,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.0256,                0.53197,                0.89705,                      1,                0.99052,                  0.995,                0.72253,                 1.1634,                 0.6203,                0.84518,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.0215,                0.53825,                0.92652,                0.98952,                0.85714,                 0.9775,                0.70681,                 1.0086,                 0.6213,                0.84008,              0.0013862,              0.0013862,              0.0013862
                     96,                0.96074,                0.53903,                0.90701,                      1,                 0.9885,                  0.995,                0.74094,                 1.0763,                0.52732,                0.83851,              0.0013796,              0.0013796,              0.0013796
                     97,                0.95466,                0.52127,                0.90132,                 0.9891,                0.85714,                0.96389,                0.72709,                 1.2218,                0.71519,                0.84848,               0.001373,               0.001373,               0.001373
                     98,                0.98462,                0.53268,                0.90919,                0.99295,                0.85714,                 0.9775,                0.71741,                 1.2301,                0.62213,                 0.8512,              0.0013664,              0.0013664,              0.0013664
                     99,                0.97629,                0.54263,                0.93214,                      1,                0.99938,                  0.995,                0.68811,                 1.1674,                0.52371,                 0.8385,              0.0013598,              0.0013598,              0.0013598
                    100,                0.98196,                0.52715,                0.90557,                0.99737,                      1,                  0.995,                0.72901,                 1.2032,                 0.5566,                0.85725,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.0489,                0.57122,                0.93072,                0.99085,                0.85714,                0.96389,                0.76075,                0.96192,                0.62376,                0.84484,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.0132,                 0.5553,                0.91797,                0.99026,                0.85714,                 0.9775,                0.71418,                 1.0433,                0.59325,                0.84609,                0.00134,                0.00134,                0.00134
                    103,                0.99048,                0.54055,                0.91698,                      1,                0.98671,                  0.995,                0.68058,                 1.1094,                0.51983,                0.83395,              0.0013334,              0.0013334,              0.0013334
                    104,                0.97773,                0.54845,                0.91559,                      1,                0.99761,                  0.995,                0.78052,                0.98024,                0.46091,                0.82667,              0.0013268,              0.0013268,              0.0013268
                    105,                 0.9492,                 0.5273,                0.90891,                      1,                0.98858,                  0.995,                0.75429,                0.90114,                0.47623,                0.82747,              0.0013202,              0.0013202,              0.0013202
                    106,                0.92555,                0.49674,                0.89314,                      1,                0.98856,                  0.995,                0.71642,                 1.1986,                0.59358,                 0.8459,              0.0013136,              0.0013136,              0.0013136
                    107,                0.95801,                0.52469,                0.89325,                0.99232,                      1,                  0.995,                0.71392,                 1.1026,                0.59825,                0.84875,               0.001307,               0.001307,               0.001307
                    108,                  0.933,                0.54053,                0.88894,                0.99764,                      1,                  0.995,                0.63825,                 1.4477,                0.63809,                0.84941,              0.0013004,              0.0013004,              0.0013004
                    109,                0.94169,                0.52298,                0.90072,                      1,                0.99453,                  0.995,                0.73242,                  1.063,                0.61707,                0.83683,              0.0012938,              0.0012938,              0.0012938
                    110,                0.89278,                0.50996,                0.90912,                      1,                0.99521,                  0.995,                0.75989,                0.96957,                0.54571,                0.83387,              0.0012872,              0.0012872,              0.0012872
                    111,                0.95269,                0.52417,                0.90805,                      1,                0.99372,                  0.995,                0.71124,                 1.1148,                0.55727,                0.83979,              0.0012806,              0.0012806,              0.0012806
                    112,                0.90886,                0.50335,                0.90335,                      1,                0.99082,                  0.995,                0.72801,                 1.0081,                0.48961,                 0.8352,               0.001274,               0.001274,               0.001274
                    113,                0.93985,                 0.5025,                0.90202,                      1,                0.99627,                  0.995,                0.69393,                0.95818,                0.52201,                0.83345,              0.0012674,              0.0012674,              0.0012674
                    114,                0.92489,                0.51165,                 0.8997,                      1,                0.99964,                  0.995,                0.71441,                 1.1337,                0.54754,                0.84551,              0.0012608,              0.0012608,              0.0012608
                    115,                0.92953,                  0.525,                0.92449,                      1,                0.98966,                  0.995,                 0.7618,                 1.0497,                0.61401,                0.83672,              0.0012542,              0.0012542,              0.0012542
                    116,                  0.944,                0.52405,                0.89121,                      1,                0.99187,                  0.995,                0.71599,                 1.0063,                 0.6282,                0.82923,              0.0012476,              0.0012476,              0.0012476
                    117,                0.92162,                0.52014,                0.90461,                      1,                0.99624,                  0.995,                0.75929,                0.93441,                0.53621,                0.82501,               0.001241,               0.001241,               0.001241
                    118,                0.90656,                0.50001,                0.90144,                  0.873,                0.98399,                 0.9775,                0.77612,                0.91889,                 0.5761,                0.83893,              0.0012344,              0.0012344,              0.0012344
                    119,                0.92691,                0.51473,                 0.9151,                0.87278,                0.98222,                 0.9775,                0.78394,                 1.0149,                0.58982,                0.83795,              0.0012278,              0.0012278,              0.0012278
                    120,                0.85301,                0.49518,                0.89625,                0.87259,                0.98072,                 0.9775,                 0.7082,                 1.0832,                0.65931,                0.83774,              0.0012212,              0.0012212,              0.0012212
                    121,                0.90586,                0.49261,                0.90547,                      1,                 0.9884,                  0.995,                0.68014,                 1.1576,                0.65441,                0.85067,              0.0012146,              0.0012146,              0.0012146
                    122,                0.84801,                 0.4745,                0.88444,                      1,                0.99141,                  0.995,                0.75041,                 1.0841,                0.59119,                0.84268,               0.001208,               0.001208,               0.001208
                    123,                0.89939,                0.50259,                0.89889,                      1,                0.99781,                  0.995,                0.70707,                 1.0812,                 0.6274,                0.84377,              0.0012014,              0.0012014,              0.0012014
                    124,                0.88419,                0.52391,                0.90846,                      1,                0.99078,                  0.995,                 0.6872,                  1.159,                0.61618,                0.85384,              0.0011948,              0.0011948,              0.0011948
                    125,                0.87552,                0.48275,                0.86531,                      1,                0.99171,                  0.995,                0.75995,                0.95453,                0.64263,                0.83709,              0.0011882,              0.0011882,              0.0011882
                    126,                0.90259,                0.48594,                0.92201,                      1,                0.99273,                  0.995,                0.72596,                 1.0512,                0.62858,                0.84137,              0.0011816,              0.0011816,              0.0011816
                    127,                0.86208,                0.50778,                0.90974,                      1,                0.99369,                  0.995,                  0.752,                0.99212,                0.57563,                0.83433,               0.001175,               0.001175,               0.001175
                    128,                0.85895,                0.47354,                0.88432,                0.99623,                      1,                  0.995,                0.77037,                0.99605,                0.51903,                0.83579,              0.0011684,              0.0011684,              0.0011684
                    129,                0.89812,                0.49644,                0.89497,                      1,                0.99602,                  0.995,                0.79407,                0.92373,                0.46293,                 0.8354,              0.0011618,              0.0011618,              0.0011618
                    130,                0.91386,                0.49181,                0.88475,                      1,                0.99426,                  0.995,                0.76545,                0.98571,                0.50701,                0.83017,              0.0011552,              0.0011552,              0.0011552
                    131,                0.84115,                0.48049,                0.88677,                      1,                0.99744,                  0.995,                0.76379,                0.94877,                0.50798,                0.83324,              0.0011486,              0.0011486,              0.0011486
                    132,                0.91855,                0.50287,                0.89501,                      1,                0.98804,                  0.995,                0.76598,                0.81102,                0.53027,                0.82499,               0.001142,               0.001142,               0.001142
                    133,                0.88949,                0.48883,                0.89897,                0.99426,                0.85714,                0.96389,                0.76063,                 1.0188,                0.59915,                0.83579,              0.0011354,              0.0011354,              0.0011354
                    134,                0.91646,                0.49946,                0.88972,                      1,                0.98329,                  0.995,                0.75085,                 1.0035,                 0.6042,                0.83658,              0.0011288,              0.0011288,              0.0011288
                    135,                0.83782,                0.47838,                0.89052,                0.98941,                0.85714,                 0.9775,                 0.7663,                 1.0372,                0.60499,                0.82651,              0.0011222,              0.0011222,              0.0011222
                    136,                0.86485,                0.45994,                0.87464,                      1,                0.99092,                  0.995,                0.74833,                 1.0497,                0.55816,                0.83005,              0.0011156,              0.0011156,              0.0011156
                    137,                0.84501,                0.45278,                0.88585,                      1,                0.99197,                  0.995,                0.72111,                 1.0276,                0.57183,                0.83104,               0.001109,               0.001109,               0.001109
                    138,                0.85742,                0.46521,                0.85385,                      1,                0.99338,                  0.995,                0.75992,                0.99858,                0.56415,                0.82956,              0.0011024,              0.0011024,              0.0011024
                    139,                0.87372,                0.47658,                0.88158,                      1,                0.99632,                  0.995,                0.80221,                0.90964,                0.51712,                0.82264,              0.0010958,              0.0010958,              0.0010958
